task,fold,model,model_group,noise_sigma,n,accuracy,balanced_accuracy,f1_macro,roc_auc_ovr_macro
COADREAD_molecular_subtype,1,extra_trees,tree_ensemble,0.05,45,0.9555555555555556,0.8666666666666667,0.889469320066335,0.9076694260904787
COADREAD_molecular_subtype,1,extra_trees,tree_ensemble,0.1,45,0.9333333333333333,0.8565656565656566,0.8565656565656564,0.9018108402318928
COADREAD_molecular_subtype,1,extra_trees,tree_ensemble,0.2,45,0.9333333333333333,0.7999999999999999,0.8251167133520075,0.9076862611073139
COADREAD_molecular_subtype,1,extra_trees,tree_ensemble,0.3,45,0.9111111111111111,0.7333333333333334,0.7410628019323671,0.9126862611073138
COADREAD_molecular_subtype,1,extra_trees,tree_ensemble,0.5,45,0.8888888888888888,0.6666666666666666,0.6253968253968254,0.9048001316422369
COADREAD_molecular_subtype,1,hist_gradient_boosting,boosting,0.0,45,0.9111111111111111,0.8464646464646465,0.8290598290598291,0.9365151515151515
COADREAD_molecular_subtype,1,hist_gradient_boosting,boosting,0.05,45,0.9111111111111111,0.8464646464646465,0.8290598290598291,0.9381649831649832
COADREAD_molecular_subtype,1,hist_gradient_boosting,boosting,0.1,45,0.8666666666666667,0.7131313131313132,0.7205882352941176,0.9222895622895623
COADREAD_molecular_subtype,1,hist_gradient_boosting,boosting,0.2,45,0.9111111111111111,0.7898989898989899,0.8137254901960785,0.949006734006734
COADREAD_molecular_subtype,1,hist_gradient_boosting,boosting,0.3,45,0.8888888888888888,0.7613275613275614,0.792357968828557,0.9063994582415636
COADREAD_molecular_subtype,1,hist_gradient_boosting,boosting,0.5,45,0.8666666666666667,0.6565656565656566,0.638095238095238,0.8872222222222222
COADREAD_molecular_subtype,1,mlp_early_fusion,static_nn,0.0,45,0.8666666666666667,0.8262626262626261,0.7950126262626261,0.9314478114478115
COADREAD_molecular_subtype,1,mlp_early_fusion,static_nn,0.05,45,0.8666666666666667,0.8262626262626261,0.7950126262626261,0.9314478114478115
COADREAD_molecular_subtype,1,mlp_early_fusion,static_nn,0.1,45,0.8444444444444444,0.8161616161616161,0.774074074074074,0.9347811447811448
COADREAD_molecular_subtype,1,mlp_early_fusion,static_nn,0.2,45,0.8666666666666667,0.8262626262626261,0.7950126262626261,0.9356228956228957
COADREAD_molecular_subtype,1,mlp_early_fusion,static_nn,0.3,45,0.8888888888888888,0.8363636363636363,0.8228438228438227,0.9264309764309765
COADREAD_molecular_subtype,1,mlp_early_fusion,static_nn,0.5,45,0.8888888888888888,0.8363636363636363,0.8215811965811967,0.9164309764309765
COADREAD_molecular_subtype,1,liquid_cfc_modality_sequence,liquid_nn,0.0,45,0.8666666666666667,0.7696969696969697,0.7475071225071225,0.9398316498316498
COADREAD_molecular_subtype,1,liquid_cfc_modality_sequence,liquid_nn,0.05,45,0.8666666666666667,0.7696969696969697,0.7475071225071225,0.9364983164983166
COADREAD_molecular_subtype,1,liquid_cfc_modality_sequence,liquid_nn,0.1,45,0.8888888888888888,0.7797979797979798,0.7723905723905724,0.9423400673400675
COADREAD_molecular_subtype,1,liquid_cfc_modality_sequence,liquid_nn,0.2,45,0.8888888888888888,0.8363636363636363,0.8188034188034189,0.9356565656565657
COADREAD_molecular_subtype,1,liquid_cfc_modality_sequence,liquid_nn,0.3,45,0.8888888888888888,0.7797979797979798,0.7714646464646465,0.9298148148148148
COADREAD_molecular_subtype,1,liquid_cfc_modality_sequence,liquid_nn,0.5,45,0.8666666666666667,0.7696969696969697,0.7351579520697168,0.9348484848484849
COADREAD_molecular_subtype,1,small_liquid_cfc_modality_sequence,small_liquid_nn,0.0,45,0.8444444444444444,0.8161616161616161,0.7594086021505376,0.9273590542011596
COADREAD_molecular_subtype,1,small_liquid_cfc_modality_sequence,small_liquid_nn,0.05,45,0.8222222222222222,0.7685425685425685,0.7215880893300248,0.9290257208678262
COADREAD_molecular_subtype,1,small_liquid_cfc_modality_sequence,small_liquid_nn,0.1,45,0.8,0.7018759018759019,0.6621863799283154,0.927789423052581
COADREAD_molecular_subtype,1,small_liquid_cfc_modality_sequence,small_liquid_nn,0.2,45,0.8,0.7018759018759019,0.6621863799283154,0.9227725880357459
COADREAD_molecular_subtype,1,small_liquid_cfc_modality_sequence,small_liquid_nn,0.3,45,0.8,0.7393939393939394,0.6807028822457944,0.9181839700260753
COADREAD_molecular_subtype,1,small_liquid_cfc_modality_sequence,small_liquid_nn,0.5,45,0.7333333333333333,0.6525252525252525,0.5836554663494895,0.9044224196855776
COADREAD_molecular_subtype,2,logistic_elasticnet,linear,0.0,45,0.9111111111111111,0.8232323232323232,0.8436604854515303,0.9815462315462314
COADREAD_molecular_subtype,2,logistic_elasticnet,linear,0.05,45,0.9111111111111111,0.8232323232323232,0.8436604854515303,0.9829707329707329
COADREAD_molecular_subtype,2,logistic_elasticnet,linear,0.1,45,0.9111111111111111,0.8232323232323232,0.8436604854515303,0.9815462315462314
COADREAD_molecular_subtype,2,logistic_elasticnet,linear,0.2,45,0.9333333333333333,0.8787878787878788,0.8941655359565807,0.9843952343952345
COADREAD_molecular_subtype,2,logistic_elasticnet,linear,0.3,45,0.9111111111111111,0.8232323232323232,0.8436604854515303,0.9823879823879823
COADREAD_molecular_subtype,2,logistic_elasticnet,linear,0.5,45,0.9333333333333333,0.8787878787878789,0.8826728826728827,0.977013727013727
COADREAD_molecular_subtype,2,random_forest,tree_ensemble,0.0,45,0.9555555555555556,0.8888888888888888,0.9235294117647058,0.9957264957264957
COADREAD_molecular_subtype,2,random_forest,tree_ensemble,0.05,45,0.9333333333333333,0.8333333333333334,0.8743961352657005,0.9943019943019943
COADREAD_molecular_subtype,2,random_forest,tree_ensemble,0.1,45,0.9333333333333333,0.8333333333333334,0.8743961352657005,0.9914529914529915
COADREAD_molecular_subtype,2,random_forest,tree_ensemble,0.2,45,0.8888888888888888,0.7222222222222223,0.738430583501006,0.9886039886039887
COADREAD_molecular_subtype,2,random_forest,tree_ensemble,0.3,45,0.8666666666666667,0.6666666666666666,0.7038239538239538,0.9928774928774929
COADREAD_molecular_subtype,2,random_forest,tree_ensemble,0.5,45,0.8,0.5,0.5155555555555555,0.9891867391867392
COADREAD_molecular_subtype,2,extra_trees,tree_ensemble,0.0,45,0.9333333333333333,0.8333333333333334,0.8743961352657005,1.0
COADREAD_molecular_subtype,2,extra_trees,tree_ensemble,0.05,45,0.9333333333333333,0.8333333333333334,0.8743961352657005,1.0
COADREAD_molecular_subtype,2,extra_trees,tree_ensemble,0.1,45,0.9333333333333333,0.8333333333333334,0.8743961352657005,1.0
COADREAD_molecular_subtype,2,extra_trees,tree_ensemble,0.2,45,0.9333333333333333,0.8333333333333334,0.8743961352657005,1.0
COADREAD_molecular_subtype,2,extra_trees,tree_ensemble,0.3,45,0.9333333333333333,0.8333333333333334,0.8743961352657005,1.0
COADREAD_molecular_subtype,2,extra_trees,tree_ensemble,0.5,45,0.8888888888888888,0.7222222222222223,0.738430583501006,0.9943019943019943
COADREAD_molecular_subtype,2,hist_gradient_boosting,boosting,0.0,45,0.9333333333333333,0.8333333333333334,0.8743961352657005,0.9832297332297332
COADREAD_molecular_subtype,2,hist_gradient_boosting,boosting,0.05,45,0.9111111111111111,0.7777777777777777,0.8142857142857144,0.9803807303807304
COADREAD_molecular_subtype,2,hist_gradient_boosting,boosting,0.1,45,0.9111111111111111,0.7777777777777777,0.8142857142857144,0.9664594664594665
COADREAD_molecular_subtype,2,hist_gradient_boosting,boosting,0.2,45,0.8666666666666667,0.712121212121212,0.7455423803249891,0.9721574721574721
COADREAD_molecular_subtype,2,hist_gradient_boosting,boosting,0.3,45,0.8444444444444444,0.6565656565656566,0.7047619047619048,0.9573944573944574
COADREAD_molecular_subtype,2,hist_gradient_boosting,boosting,0.5,45,0.8666666666666667,0.6666666666666666,0.7388888888888889,0.976948976948977
COADREAD_molecular_subtype,2,mlp_early_fusion,static_nn,0.0,45,0.9333333333333333,0.8787878787878788,0.8941655359565807,0.9702149702149702
COADREAD_molecular_subtype,2,mlp_early_fusion,static_nn,0.05,45,0.9333333333333333,0.8787878787878788,0.8941655359565807,0.9693732193732195
COADREAD_molecular_subtype,2,mlp_early_fusion,static_nn,0.1,45,0.9333333333333333,0.8787878787878788,0.8941655359565807,0.9693732193732195
COADREAD_molecular_subtype,2,mlp_early_fusion,static_nn,0.2,45,0.9333333333333333,0.8787878787878788,0.8941655359565807,0.9744884744884744
COADREAD_molecular_subtype,2,mlp_early_fusion,static_nn,0.3,45,0.9333333333333333,0.8787878787878788,0.8941655359565807,0.9722222222222222
COADREAD_molecular_subtype,2,mlp_early_fusion,static_nn,0.5,45,0.9333333333333333,0.8787878787878788,0.8941655359565807,0.9625744625744627
COADREAD_molecular_subtype,2,liquid_cfc_modality_sequence,liquid_nn,0.0,45,0.8888888888888888,0.7676767676767676,0.7906602254428341,0.9608909608909609
COADREAD_molecular_subtype,2,liquid_cfc_modality_sequence,liquid_nn,0.05,45,0.8888888888888888,0.7676767676767676,0.7906602254428341,0.9572002072002072
COADREAD_molecular_subtype,2,liquid_cfc_modality_sequence,liquid_nn,0.1,45,0.8888888888888888,0.7676767676767676,0.7906602254428341,0.9555167055167054
COADREAD_molecular_subtype,2,liquid_cfc_modality_sequence,liquid_nn,0.2,45,0.9333333333333333,0.8333333333333334,0.8743961352657005,0.9696969696969697
COADREAD_molecular_subtype,2,liquid_cfc_modality_sequence,liquid_nn,0.3,45,0.8666666666666667,0.8030303030303031,0.8030303030303031,0.9600492100492101
COADREAD_molecular_subtype,2,liquid_cfc_modality_sequence,liquid_nn,0.5,45,0.8888888888888888,0.7676767676767676,0.7906602254428341,0.9487179487179488
COADREAD_molecular_subtype,2,small_liquid_cfc_modality_sequence,small_liquid_nn,0.0,45,0.9111111111111111,0.8232323232323232,0.8470588235294118,0.9691142191142191
COADREAD_molecular_subtype,2,small_liquid_cfc_modality_sequence,small_liquid_nn,0.05,45,0.9111111111111111,0.8232323232323232,0.8470588235294118,0.9696969696969697
COADREAD_molecular_subtype,2,small_liquid_cfc_modality_sequence,small_liquid_nn,0.1,45,0.9111111111111111,0.8232323232323232,0.8470588235294118,0.9728049728049729
COADREAD_molecular_subtype,2,small_liquid_cfc_modality_sequence,small_liquid_nn,0.2,45,0.9111111111111111,0.8232323232323232,0.8470588235294118,0.9713804713804715
COADREAD_molecular_subtype,2,small_liquid_cfc_modality_sequence,small_liquid_nn,0.3,45,0.9333333333333333,0.8333333333333334,0.8743961352657005,0.9691142191142191
COADREAD_molecular_subtype,2,small_liquid_cfc_modality_sequence,small_liquid_nn,0.5,45,0.8666666666666667,0.8030303030303031,0.7925407925407925,0.9707977207977208
COADREAD_molecular_subtype,3,logistic_elasticnet,linear,0.0,45,0.9111111111111111,0.8686868686868688,0.859074259074259,0.9886687386687387
