task,model,model_group,noise_sigma,folds,f1_macro_mean,f1_macro_sd,roc_auc_ovr_macro_mean
HNSC_HPV_status,mlp_early_fusion,static_nn,0.1,10,0.8553846102666588,0.0657158993553236,0.9761427741828438
HNSC_HPV_status,mlp_early_fusion,static_nn,0.2,10,0.8530842843530605,0.0673134146463928,0.9744006139040982
HNSC_HPV_status,mlp_early_fusion,static_nn,0.3,10,0.8582701869854071,0.06145568559626791,0.9749315579890492
HNSC_HPV_status,mlp_early_fusion,static_nn,0.5,10,0.853375679326929,0.08001286427849638,0.9756719761075162
HNSC_HPV_status,random_forest,tree_ensemble,0.0,10,0.9046199124554235,0.061549648540993776,0.9647067363530779
HNSC_HPV_status,random_forest,tree_ensemble,0.05,10,0.8987426524605165,0.06428006366235312,0.9663721586195454
HNSC_HPV_status,random_forest,tree_ensemble,0.1,10,0.880160103980803,0.08071607432359272,0.9668076986892318
HNSC_HPV_status,random_forest,tree_ensemble,0.2,10,0.8647854280689684,0.06914482055409327,0.961954537912726
HNSC_HPV_status,random_forest,tree_ensemble,0.3,10,0.8166328707614854,0.06500567573609606,0.9652127924340468
HNSC_HPV_status,random_forest,tree_ensemble,0.5,10,0.6772420118177006,0.11647904677222304,0.9643043802887009
HNSC_HPV_status,small_liquid_cfc_modality_sequence,small_liquid_nn,0.0,10,0.8746602613055291,0.07814846641280272,0.9581280073004812
HNSC_HPV_status,small_liquid_cfc_modality_sequence,small_liquid_nn,0.05,10,0.8746602613055291,0.07814846641280272,0.9580927492948399
HNSC_HPV_status,small_liquid_cfc_modality_sequence,small_liquid_nn,0.1,10,0.8775458102327551,0.077668347699848,0.9578666832586693
HNSC_HPV_status,small_liquid_cfc_modality_sequence,small_liquid_nn,0.2,10,0.869754202026072,0.09039876248730808,0.9586091753774681
HNSC_HPV_status,small_liquid_cfc_modality_sequence,small_liquid_nn,0.3,10,0.8656439221068111,0.077705249016246,0.9552057408329185
HNSC_HPV_status,small_liquid_cfc_modality_sequence,small_liquid_nn,0.5,10,0.8643044487404028,0.08575994173363975,0.954031856645097
KIRC_grade_binary,extra_trees,tree_ensemble,0.0,10,0.6661723580117023,0.06391288719002777,0.7300510278771148
KIRC_grade_binary,extra_trees,tree_ensemble,0.05,10,0.6689875591698315,0.06157170361967794,0.7277584331932159
KIRC_grade_binary,extra_trees,tree_ensemble,0.1,10,0.6509459725491196,0.06363336297245537,0.7215101323796975
KIRC_grade_binary,extra_trees,tree_ensemble,0.2,10,0.6296999985812003,0.08502066836244655,0.7253586590543113
