training_scale,seed,model,model_group,split,n,accuracy,balanced_accuracy,f1_macro,roc_auc_ovr_macro
joined_tcga_metabric,43,gaussian_nb,probabilistic,train,2326,0.7953568357695615,0.790681492811065,0.773650775346698,0.9574077769984527
joined_tcga_metabric,43,gaussian_nb,probabilistic,valid,411,0.7907542579075426,0.7912904373144081,0.7666760760953812,0.9576134116770693
joined_tcga_metabric,43,gaussian_nb,probabilistic,cptac_external,122,0.8688524590163934,0.865914888641482,0.8074802390591864,0.9816209319657423
joined_tcga_metabric,43,knn_distance,instance_based,train,2326,1.0,1.0,1.0,1.0
joined_tcga_metabric,43,knn_distance,instance_based,valid,411,0.8223844282238443,0.7072703210170641,0.7403671076251721,0.9567449368692632
joined_tcga_metabric,43,knn_distance,instance_based,cptac_external,122,0.8360655737704918,0.6323043918111709,0.6512413136573031,0.9737084916704687
joined_tcga_metabric,43,random_forest,tree_ensemble,train,2326,0.999140154772141,0.9996074582924436,0.9994538859961256,0.9999994506712536
joined_tcga_metabric,43,random_forest,tree_ensemble,valid,411,0.8588807785888077,0.7977826579650446,0.8171757446651002,0.9767402766875397
joined_tcga_metabric,43,random_forest,tree_ensemble,cptac_external,122,0.9016393442622951,0.7904556523153726,0.8215873682211511,0.9888806841255555
joined_tcga_metabric,43,extra_trees,tree_ensemble,train,2326,1.0,1.0,1.0,1.0
joined_tcga_metabric,43,extra_trees,tree_ensemble,valid,411,0.8564476885644768,0.7896795619411565,0.8112793248992686,0.9776636407489094
joined_tcga_metabric,43,extra_trees,tree_ensemble,cptac_external,122,0.9016393442622951,0.826946880385548,0.8526981246218994,0.9881223602473564
joined_tcga_metabric,43,hist_gradient_boosting,boosting,train,2326,1.0,1.0,1.0,1.0
joined_tcga_metabric,43,hist_gradient_boosting,boosting,valid,411,0.8734793187347932,0.8424779771210205,0.8428519512205164,0.9849752692452546
joined_tcga_metabric,43,hist_gradient_boosting,boosting,cptac_external,122,0.8934426229508197,0.786946880385548,0.8036800927267459,0.9847887045536996
joined_tcga_metabric,43,sklearn_mlp,static_nn,train,2326,0.9312123817712812,0.9058567528558396,0.917718212263369,0.9944742411128473
joined_tcga_metabric,43,sklearn_mlp,static_nn,valid,411,0.8734793187347932,0.8405967890022085,0.8492155519574874,0.9839230197854036
joined_tcga_metabric,43,sklearn_mlp,static_nn,cptac_external,122,0.9508196721311475,0.9060446247464503,0.9323024261126107,0.9970682974524877
expanded_tcga_metabric_scanb_smc,43,logistic_l2,linear,train,5135,0.8860759493670886,0.9122523125977328,0.8731278128239841,0.9899870817404169
expanded_tcga_metabric_scanb_smc,43,logistic_l2,linear,valid,907,0.8555678059536935,0.8666284639997107,0.8341462972897556,0.9819118079234188
expanded_tcga_metabric_scanb_smc,43,logistic_l2,linear,cptac_external,122,0.9180327868852459,0.8082501385309115,0.8222629057450979,0.9926887112561426
expanded_tcga_metabric_scanb_smc,43,logistic_elasticnet,linear,train,5135,0.885491723466407,0.9120429817757199,0.871749816405306,0.9898697757987007
expanded_tcga_metabric_scanb_smc,43,logistic_elasticnet,linear,valid,907,0.8544652701212789,0.8675142448854917,0.8337736061482091,0.9822234847787144
