training_scale,split,model,model_group,runs,n_mean,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,f1_macro_mean,f1_macro_sd,roc_auc_ovr_macro_mean,roc_auc_ovr_macro_sd
joined_tcga_metabric,train,sklearn_mlp,static_nn,3,2326.0,0.9369446832903411,0.03517579781629545,0.9150731150124574,0.036574367409835266,0.9234690331717648,0.03922483868908149,0.9936267019254833,0.004703971941368786
joined_tcga_metabric,train,logistic_l2,linear,3,2326.0,0.8938091143594153,0.0,0.9277057010473401,0.0,0.8900923690012291,0.0,0.9897411915289899,0.0
joined_tcga_metabric,train,logistic_elasticnet,linear,3,2326.0,0.883920894239037,0.0,0.9174384551817504,0.0,0.8766573258981888,0.0,0.9890622085065859,5.437382310925088e-07
joined_tcga_metabric,train,lda_shrinkage,linear_discriminant,3,2326.0,0.852536543422184,0.0,0.796857604952085,0.0,0.8133142465620802,0.0,0.9745253392266496,0.0
joined_tcga_metabric,train,linear_svm_calibrated,linear_svm,3,2326.0,0.8658641444539983,0.0,0.7722632829104187,0.0,0.802059216129377,0.0,0.9831335448739944,0.0
joined_tcga_metabric,train,gaussian_nb,probabilistic,3,2326.0,0.7953568357695615,0.0,0.790681492811065,0.0,0.773650775346698,0.0,0.9574077769984527,0.0
joined_tcga_metabric,train,ridge_classifier,linear,3,2326.0,0.7704213241616508,0.0,0.8236700800717275,0.0,0.7624749417975716,0.0,0.962203402758775,0.0
expanded_tcga_metabric_scanb_smc,valid,hist_gradient_boosting,boosting,3,907.0,0.9073869900771775,0.011925748430421155,0.8716861303120997,0.007168469642032952,0.8815501650962289,0.011089484187752541,0.9873653468192427,0.001701018438453693
expanded_tcga_metabric_scanb_smc,valid,sklearn_mlp,static_nn,3,907.0,0.8908489525909592,0.01631604033842196,0.8381274389427104,0.010956773620753701,0.855680015733976,0.01411330781331293,0.9840073332703098,0.003019145276239317
expanded_tcga_metabric_scanb_smc,valid,random_forest,tree_ensemble,3,907.0,0.88460124954061,0.013960617356282687,0.8118393117896,0.025538942833093464,0.8367949167416344,0.025504802857724905,0.9817516175838971,0.002326671552403405
expanded_tcga_metabric_scanb_smc,valid,logistic_elasticnet,linear,3,907.0,0.8610804851157662,0.017502213744639,0.8681002493231564,0.015478267639728678,0.8355230169726986,0.018517878105804485,0.9820886475931841,0.0037500609116212034
expanded_tcga_metabric_scanb_smc,valid,logistic_l2,linear,3,907.0,0.8614479970599045,0.01730431071957893,0.86679631099993,0.01594112183842948,0.8351257229480421,0.018264238365071555,0.9813057264095852,0.0037877890011361773
expanded_tcga_metabric_scanb_smc,valid,extra_trees,tree_ensemble,3,907.0,0.8816611539875047,0.006736605211254422,0.8103778828714203,0.0149044616522803,0.834972416841062,0.013514642013495221,0.9820062185881145,0.0023889101261224677
expanded_tcga_metabric_scanb_smc,valid,lda_shrinkage,linear_discriminant,3,907.0,0.8544652701212789,0.0067064636497223915,0.7867440067499721,0.01301396615470637,0.8093031734131021,0.007207034344294615,0.972610196555778,0.0024523954142854666
expanded_tcga_metabric_scanb_smc,valid,linear_svm_calibrated,linear_svm,3,907.0,0.8614479970599045,0.004174133293495272,0.7771806212390823,0.014387079652700462,0.8055777237063314,0.011092067918353758,0.9759061044322586,0.0035599904412181183
expanded_tcga_metabric_scanb_smc,valid,knn_distance,instance_based,3,907.0,0.8419698640205807,0.004455845517450295,0.7272983672168402,0.001408339913504713,0.7678675431070024,0.0060666276232481725,0.9672599734940422,0.0021511494778017576
expanded_tcga_metabric_scanb_smc,valid,gaussian_nb,probabilistic,3,907.0,0.7916207276736493,0.0019096480789072554,0.7895429631679383,0.008594258310750648,0.7642064094524529,0.0023022210613347113,0.954400480499778,0.002578081873082095
expanded_tcga_metabric_scanb_smc,valid,ridge_classifier,linear,3,907.0,0.7607497243660418,0.0029170356241065,0.8058173502774816,0.008831564294534132,0.7485269569400979,0.00657499501231449,0.9574758537564142,0.003264292308568754
joined_tcga_metabric,valid,sklearn_mlp,static_nn,3,411.0,0.8694241686942417,0.007023725902550256,0.8385202003909664,0.010785902934215424,0.8436645627706834,0.004961327261658758,0.9824813844948008,0.0018999211505802464
joined_tcga_metabric,valid,hist_gradient_boosting,boosting,3,411.0,0.8734793187347932,0.0,0.8424779771210206,0.0,0.8428519512205165,0.0,0.9849752692452546,0.0
joined_tcga_metabric,valid,logistic_elasticnet,linear,3,411.0,0.8491484184914841,0.0,0.8638321050150127,0.0,0.827072453550629,0.0,0.977896748030631,1.076744254373927e-05
joined_tcga_metabric,valid,lda_shrinkage,linear_discriminant,3,411.0,0.8491484184914841,0.0,0.81302861113179,0.0,0.8205817983134841,0.0,0.9671836594045615,0.0
joined_tcga_metabric,valid,logistic_l2,linear,3,411.0,0.8418491484184915,0.0,0.8485930171964565,0.0,0.8181332915038603,0.0,0.976245403838997,0.0
joined_tcga_metabric,valid,extra_trees,tree_ensemble,3,411.0,0.8613138686131387,0.004866180048661864,0.7944137020218313,0.005734838069029055,0.8154414611908377,0.005523676840507811,0.9778194089798867,0.0002618544840912476
joined_tcga_metabric,valid,random_forest,tree_ensemble,3,411.0,0.8580697485806974,0.003716606403046149,0.7933911235735102,0.0045710203378414764,0.8139367066536746,0.0041074932280054195,0.9771053775652737,0.0003271125381342565
joined_tcga_metabric,valid,linear_svm_calibrated,linear_svm,3,411.0,0.8661800486618004,0.0,0.7766882552916946,0.0,0.8025539029542955,0.0,0.968904029816548,0.0
joined_tcga_metabric,valid,gaussian_nb,probabilistic,3,411.0,0.7907542579075426,0.0,0.7912904373144082,0.0,0.7666760760953814,0.0,0.9576134116770693,0.0
joined_tcga_metabric,valid,ridge_classifier,linear,3,411.0,0.7615571776155717,0.0,0.8115010298022284,0.0,0.7529825115887062,0.0,0.9464423224977002,0.0
joined_tcga_metabric,valid,knn_distance,instance_based,3,411.0,0.8223844282238443,0.0,0.7072703210170642,0.0,0.7403671076251722,0.0,0.9567449368692632,0.0
